"business_id","business_name","business_kind","business_category","city","business_scale","item_id","sku","item_name","item_category","unit","quantity_mode","quantity","cost_price","selling_price","image_path","synthetic","image_provenance","availability_note"
"SIM-BIZ-001","Table & Chair Test Co 01 [SYNTHETIC]","Supplier","Furniture and tableware","Cape Town","Micro","SIM-BIZ-001-CAT-001","SIM-001-001","Gold Chiavari Chair [SYNTHETIC]","Furniture and tableware","Each","QUANTITY","100","108","131.76","/simulation/catalogue/products/gold-chiavari-chair.png","true","GENERATED_FOR_EVENTOS_SIMULATION","Simulator-only fixture; not available for real purchase"
"SIM-BIZ-001","Table & Chair Test Co 01 [SYNTHETIC]","Supplier","Furniture and tableware","Cape Town","Micro","SIM-BIZ-001-CAT-002","SIM-001-002","Clear Ghost Chair [SYNTHETIC]","Furniture and tableware","Each","QUANTITY","100","155","189.1","/simulation/catalogue/products/clear-ghost-chair.png","true","GENERATED_FOR_EVENTOS_SIMULATION","Simulator-only fixture; not available for real purchase"
"SIM-BIZ-001","Table & Chair Test Co 01 [SYNTHETIC]","Supplier","Furniture and tableware","Cape Town","Micro","SIM-BIZ-001-CAT-003","SIM-001-003","Black Cross-Back Chair [SYNTHETIC]","Furniture and tableware","Each","QUANTITY","100","202","246.44","/simulation/catalogue/products/black-cross-back-chair.png","true","GENERATED_FOR_EVENTOS_SIMULATION","Simulator-only fixture; not available for real purchase"
"SIM-BIZ-001","Table & Chair Test Co 01 [SYNTHETIC]","Supplier","Furniture and tableware","Cape Town","Micro","SIM-BIZ-001-CAT-004","SIM-001-004","Ivory Dining Chair [SYNTHETIC]","Furniture and tableware","Each","QUANTITY","100","249","303.78","/simulation/catalogue/gold-chiavari-chairs.png","true","GENERATED_FOR_EVENTOS_SIMULATION","Simulator-only fixture; not available for real purchase"
"SIM-BIZ-001","Table & Chair Test Co 01 [SYNTHETIC]","Supplier","Furniture and tableware","Cape Town","Micro","SIM-BIZ-001-CAT-005","SIM-001-005","White Folding Ceremony Chair [SYNTHETIC]","Furniture and tableware","Each","QUANTITY","100","296","361.12","/simulation/catalogue/gold-chiavari-chairs.png","true","GENERATED_FOR_EVENTOS_SIMULATION","Simulator-only fixture; not available for real purchase"
"SIM-BIZ-001","Table & Chair Test Co 01 [SYNTHETIC]","Supplier","Furniture and tableware","Cape Town","Micro","SIM-BIZ-001-CAT-006","SIM-001-006","Children's Event Chair [SYNTHETIC]","Furniture and tableware","Each","QUANTITY","100","343","418.46","/simulation/catalogue/gold-chiavari-chairs.png","true","GENERATED_FOR_EVENTOS_SIMULATION","Simulator-only fixture; not available for real purchase"
"SIM-BIZ-001","Table & Chair Test Co 01 [SYNTHETIC]","Supplier","Furniture and tableware","Cape Town","Micro","SIM-BIZ-001-CAT-007","SIM-001-007","Long Oak Banquet Table [SYNTHETIC]","Furniture and tableware","Each","QUANTITY","100","299","376.74","/simulation/catalogue/products/long-oak-banquet-table.png","true","GENERATED_FOR_EVENTOS_SIMULATION","Simulator-only fixture; not available for real purchase"
"SIM-BIZ-001","Table & Chair Test Co 01 [SYNTHETIC]","Supplier","Furniture and tableware","Cape Town","Micro","SIM-BIZ-001-CAT-008","SIM-001-008","Round Banquet Table [SYNTHETIC]","Furniture and tableware","Each","QUANTITY","100","346","435.96","/simulation/catalogue/products/round-banquet-table.png","true","GENERATED_FOR_EVENTOS_SIMULATION","Simulator-only fixture; not available for real purchase"
"SIM-BIZ-001","Table & Chair Test Co 01 [SYNTHETIC]","Supplier","Furniture and tableware","Cape Town","Micro","SIM-BIZ-001-CAT-009","SIM-001-009","Square Black Dining Table [SYNTHETIC]","Furniture and tableware","Each","QUANTITY","100","393","495.18","/simulation/catalogue/event-tables.png","true","GENERATED_FOR_EVENTOS_SIMULATION","Simulator-only fixture; not available for real purchase"
"SIM-BIZ-001","Table & Chair Test Co 01 [SYNTHETIC]","Supplier","Furniture and tableware","Cape Town","Micro","SIM-BIZ-001-CAT-010","SIM-001-010","Round Cocktail Table [SYNTHETIC]","Furniture and tableware","Each","QUANTITY","100","440","554.4","/simulation/catalogue/products/round-cocktail-table.png","true","GENERATED_FOR_EVENTOS_SIMULATION","Simulator-only fixture; not available for real purchase"
